1000 100000
431 459 614583
285 459 104105
42 459 150257
431 486 969545
459 846 136978
486 590 220182
285 361 354363
285 380 797885
285 731 732297
285 838 458422
486 717 516841
66 459 488585
66 397 896689
273 717 740748
838 859 139752
673 859 666439
380 795 828942
431 735 430696
731 947 255512
508 846 224781
486 512 262537
156 361 499050
338 459 590145
315 673 688567
336 731 992219
66 874 483710
336 554 368918
315 899 220622
482 673 24228
315 411 858914
122 731 626145
336 698 670918
486 908 55335
257 285 316373
615 795 99668
66 476 28952
285 651 519673
71 459 345745
4 338 458166
276 336 574368
35 338 370186
380 912 353966
263 336 685582
276 535 856628
58 122 273237
71 977 28107
240 731 794151
255 859 989399
459 768 4105
58 597 805402
18 285 95440
445 459 521234
285 856 720730
315 936 436894
357 459 650051
449 768 650535
380 850 737804
122 791 143250
263 645 114221
4 664 233680
597 963 141172
27 899 13753
827 912 275022
266 554 507191
273 793 643655
361 620 137499
276 764 789318
4 287 596483
22 287 518820
36 508 948700
276 985 432022
36 678 281963
897 936 133561
449 688 894585
4 986 446376
380 704 996537
265 590 880219
445 649 957011
597 714 770613
43 276 728501
321 717 204555
725 859 995830
343 986 722485
762 947 64959
464 963 421025
43 278 747298
158 977 975577
431 623 306875
265 541 597636
42 472 849380
39 287 759516
508 770 791199
762 853 203651
440 688 463962
4 409 974516
56 361 38255
390 440 866591
11 265 549286
623 914 6852
735 758 666632
482 528 80177
791 841 889422
411 543 705954
472 654 278039
131 698 760246
719 762 219299
298 725 538851
122 812 789954
791 882 26494
36 773 453725
418 482 153495
747 977 687101
600 704 866803
199 357 857627
298 531 833363
291 623 753102
615 992 152114
35 187 423512
243 654 412892
106 874 188909
649 880 355892
735 808 831107
24 947 897661
698 935 642338
31 285 16767
191 731 585340
336 642 900074
131 905 243113
528 567 219795
184 278 967085
409 665 907055
109 758 661721
56 636 39682
642 906 916552
244 411 276705
352 615 921342
428 977 982120
285 873 733274
58 798 800859
379 985 606757
62 199 716201
425 476 504620
285 589 716514
35 976 569441
32 36 880176
795 970 322689
215 649 725833
549 880 620047
59 243 567902
129 947 51840
336 491 587
482 680 773952
623 730 603082
556 620 510116
320 445 239902
423 649 834162
57 409 734070
240 849 369307
759 935 855943
742 850 179997
225 263 787410
1 187 963096
191 767 569978
141 714 534128
287 446 456954
786 882 333389
265 843 790923
244 835 599739
273 940 672716
452 808 998199
24 416 496404
426 874 272399
4 303 863714
510 589 380366
109 137 280091
160 762 630434
39 792 529604
410 678 234797
21 759 353363
709 717 159105
136 912 659105
635 808 269068
62 513 406964
49 452 104100
482 868 918674
590 896 163707
21 775 819078
390 921 74994
131 606 132192
192 768 122916
326 541 912369
62 451 562639
596 992 831540
446 891 278121
192 236 99401
420 678 573353
287 815 8222
190 908 674737
158 584 424663
336 715 945512
24 658 744346
688 736 736261
555 658 949733
596 816 403900
87 512 633059
823 970 990064
635 668 144658
67 747 341836
107 770 755230
314 808 250566
322 658 169800
341 715 280841
573 853 781266
110 513 209570
623 675 720449
59 415 918139
215 797 337885
397 991 552152
338 494 529131
215 757 759597
66 75 180258
558 947 648084
144 491 514952
158 162 105665
213 921 854766
159 494 64026
23 853 907047
642 802 109364
441 449 43836
236 895 525610
252 882 516033
66 760 836921
717 860 81671
717 840 257546
202 255 407765
715 857 584670
109 837 128030
624 986 14043
567 598 986687
742 937 533902
736 739 275246
698 716 26603
84 840 282322
166 600 37933
753 970 960328
276 855 891258
540 636 833493
768 999 772265
218 704 907119
20 543 56671
604 812 524134
115 606 836979
584 1000 524737
967 985 285467
24 461 296819
867 914 65403
720 868 521466
290 428 511338
156 561 863341
409 539 572967
330 459 546292
566 719 203068
107 559 95223
133 791 300134
343 358 98615
301 764 795806
108 596 843942
418 522 397708
260 664 611217
522 628 166230
22 945 719005
217 589 249011
59 473 206609
639 846 477638
342 963 792872
118 678 51102
137 574 338847
594 678 558238
622 649 520237
4 12 146792
11 568 621379
159 916 536800
92 963 547680
233 792 219392
528 659 58333
678 782 850407
144 634 581874
321 498 801096
315 366 662870
49 740 879709
680 800 780655
476 984 320476
566 650 208616
635 943 700016
202 652 266311
421 597 760489
1 98 462114
127 899 60451
494 534 680172
675 973 359976
706 914 997421
423 801 17785
303 901 408523
69 901 592227
21 497 352382
434 880 680649
606 700 171227
260 392 795143
526 897 139725
111 301 401514
258 573 70612
604 794 65700
808 920 470849
675 898 508171
392 834 813769
677 849 396801
335 795 856137
147 846 18125
180 985 34634
406 688 448372
115 975 942522
358 629 418879
431 453 425346
338 694 36723
298 807 997689
290 407 600149
476 997 665617
523 840 150872
358 961 201838
11 355 212167
445 790 624334
123 594 60559
264 361 703175
227 935 179382
185 963 284030
550 735 384746
200 264 410060
161 558 555251
853 926 790252
394 843 870291
5 808 11070
445 569 948550
561 886 994388
298 519 835830
44 920 485208
36 881 135241
56 876 410970
149 986 927203
252 939 583400
665 958 631004
251 330 527645
20 724 301221
148 265 117600
440 471 978114
316 326 34405
151 461 41212
5 239 943772
636 728 727714
67 193 315229
775 890 488133
502 531 53621
228 574 358794
256 740 645173
62 203 474477
212 423 445064
339 554 393305
146 790 820954
252 288 356268
474 604 499259
461 614 673515
125 148 124742
338 923 74048
4 844 487233
2 141 841108
178 203 514626
35 246 731221
319 352 914851
221 541 770160
578 905 686976
129 204 965018
586 596 570733
443 494 298419
115 153 131464
476 682 973263
109 195 760225
228 297 435838
299 379 649078
170 445 121512
69 286 626508
370 714 618071
57 442 262665
538 997 684534
823 907 428703
219 623 208847
412 731 328543
896 922 331677
210 379 538683
762 852 430623
680 814 425744
517 549 408776
801 956 919213
600 803 441918
425 516 412568
88 984 330812
91 807 833272
94 923 797922
239 328 856243
250 330 227610
443 748 498554
442 601 604007
484 977 948935
35 309 568740
290 547 585408
675 701 597527
553 807 827685
403 443 797358
430 694 986439
56 960 303011
133 205 454447
773 957 232098
1 684 708762
55 961 514829
603 853 82156
16 800 919069
17 213 386213
481 694 748763
290 734 390984
196 748 311031
736 893 640046
101 815 606784
617 658 972112
482 685 439109
652 902 546586
11 572 784421
696 1000 180250
666 936 347927
429 940 164880
467 764 792034
597 610 102052
204 220 772706
5 439 929816
629 723 886124
161 607 923794
451 708 589112
370 836 288305
549 983 27718
549 966 607811
136 845 204777
556 583 259472
413 440 94391
43 783 632516
202 262 174376
152 823 499328
31 182 888623
673 809 467504
89 309 394141
672 960 635208
59 609 475057
265 611 966495
186 412 277872
59 722 462018
224 939 570282
20 223 84120
715 848 928361
70 914 522244
37 148 277629
875 920 38588
937 978 136299
194 983 546632
45 607 8676
276 949 243042
53 649 191543
3 791 642857
329 535 504718
758 995 638699
295 812 222646
871 876 171526
111 806 384577
174 547 34753
544 940 894403
17 463 938222
346 719 806713
26 517 569667
90 191 543028
901 953 392586
103 814 622895
224 458 64954
646 747 188694
249 597 677067
696 821 527511
33 43 674332
85 956 38287
134 574 154801
484 527 843704
227 693 404027
99 131 808272
255 259 351438
179 717 866492
348 898 678604
478 709 333657
32 756 480825
48 449 524743
343 919 53859
410 832 713705
96 992 756531
306 914 583809
344 486 986336
509 607 951077
799 841 170204
36 351 218052
214 494 579702
299 612 13467
689 923 594666
728 932 149831
123 990 267888
396 474 268993
207 760 944667
502 996 735365
130 834 656729
